n_agents,network_type,avg_T_loss,critical_point
15,complete,-0.10266666666666673,4
15,line,-0.12866666666666673,3
15,star,-0.13733333333333336,4
15,small_world,-0.11266666666666672,3
20,complete,-0.10300000000000005,7
20,line,-0.128,4
20,star,-0.14450000000000002,8
20,small_world,-0.11250000000000004,3
25,complete,-0.10200000000000005,6
25,line,-0.12480000000000002,4
25,star,-0.14320000000000002,4
25,small_world,-0.11360000000000003,3
30,complete,-0.10200000000000005,7
30,line,-0.126,3
30,star,-0.13733333333333336,6
30,small_world,-0.11366666666666668,6
