n_agents,network_type,avg_T_loss,critical_point
3,complete,-0.11,
3,line,-0.128,
3,star,-0.122,
3,small_world,-0.114,
5,complete,-0.1096,4.0
5,line,-0.1156,4.0
5,star,-0.1168,3.0
5,small_world,-0.1084,3.0
7,complete,-0.1051428571428572,7.0
7,line,-0.1171428571428571,4.0
7,star,-0.1197142857142857,3.0
7,small_world,-0.1068571428571429,6.0
8,complete,-0.1045,5.0
8,line,-0.11575,6.0
8,star,-0.12775,4.0
8,small_world,-0.10825,4.0
10,complete,-0.1042,8.0
10,line,-0.1186,5.0
10,star,-0.1258,8.0
10,small_world,-0.1078,4.0
12,complete,-0.103,6.0
12,line,-0.1205,3.0
12,star,-0.1215,4.0
12,small_world,-0.1065,8.0
15,complete,-0.1026666666666667,4.0
15,line,-0.1286666666666667,3.0
15,star,-0.1373333333333333,4.0
15,small_world,-0.1126666666666667,3.0
20,complete,-0.103,7.0
20,line,-0.128,4.0
20,star,-0.1445,8.0
20,small_world,-0.1125,3.0
25,complete,-0.102,6.0
25,line,-0.1248,4.0
25,star,-0.1432,4.0
25,small_world,-0.1136,3.0
30,complete,-0.102,7.0
30,line,-0.126,3.0
30,star,-0.1373333333333333,6.0
30,small_world,-0.1136666666666666,6.0
40,complete,-0.1015,6.0
40,line,-0.12775,3.0
40,star,-0.13625,3.0
40,small_world,-0.1155,3.0
50,complete,-0.1014,7.0
50,line,-0.1262,3.0
50,star,-0.1346,6.0
50,small_world,-0.1128,5.0
60,complete,-0.1008333333333333,6.0
60,line,-0.1276666666666666,3.0
60,star,-0.1305,7.0
60,small_world,-0.1155,3.0
